ID_PRODUCTO;ID_COMPONENTE;LONGITUD
ABT_200_198-226;CHA0002;214,25
ABT_200_218-235;CHA0002;218,75
ABT_225_222-252;CHA0002;232,5
ABT_250_240-270;CHA0002;245
ABT_250_248-282;CHA0002;257,5
ABT_250_262-292;CHA0002;262,5
ABT_250_270-310;CHA0002;281,25
ABT_300_288-318;CHA0002;285
ABT_300_305-326;CHA0002;290
ABT_300_310-338;CHA0002;302,5
ABT_350_324-350;CHA0002;312,5
ABT_350_330-360;CHA0003;315
ABT_350_350-386;CHA0003;340
ABT_350_360-392;CHA0003;345
ABT_400_389-410;CHA0003;356,25
ABT_400_399-430;CHA0003;372,5
ABT_400_408-435;CHA0003;378,75
ABT_450_425-460;CHA0003;397,5
ABT_450_435-470;CHA0003;400
ABT_500_465-500;CHA0003;426,25
ABT_500_498-538;CHA0003;480
ABT_500_505-540;CHA0003;482,5
ABT_500_599-627;CHA0003;537,5
ABT_500_610-638;CHA0003;555
ABT_500_620-650;CHA0003;587,5
CONEC_AT_200_198-226;CHA0001;857
CONEC_AT_200_218-235;CHA0001;875
CONEC_AT_225_222-252;CHA0001;930
CONEC_AT_250_240-270;CHA0001;980
CONEC_AT_250_248-282;CHA0001;1030
CONEC_AT_250_262-292;CHA0001;1050
CONEC_AT_300_270-310;CHA0001;1125
CONEC_AT_300_288-318;CHA0001;1140
CONEC_AT_300_305-326;CHA0001;1160
CONEC_AT_300_310-338;CHA0001;1210
CONEC_AT_350_324-350;CHA0001;1250
CONEC_AT_350_330-360;CHA0003;1260
CONEC_AT_350_350-386;CHA0003;1360
CONEC_AT_350_360-392;CHA0003;1380
CONEC_AT_400_389-410;CHA0003;1425
CONEC_AT_400_399-430;CHA0003;1490
CONEC_AT_450_408-435;CHA0003;1515
CONEC_AT_450_425-460;CHA0003;1590
CONEC_AT_450_435-470;CHA0003;1600
CONEC_AT_500_465-500;CHA0003;1705
CONEC_AT_500_498-538;CHA0003;1920
CONEC_AT_600_505-540;CHA0003;1930
CONEC_AT_600_599-627;CHA0003;2150
CONEC_AT_600_610-638;CHA0003;2220
CONEC_AT_600_620-650;CHA0003;2350
ABT_350_324-350;JUN0001;300
ABT_350_325-360;JUN0001;300
ABT_350_330-360;JUN0001;300
ABT_350_350-386;JUN0001;300
ABT_350_350-392;JUN0001;300
ABT_350_360-386;JUN0001;300
ABT_350_360-392;JUN0001;300
ABT_400_389-410;JUN0001;300
ABT_400_399-430;JUN0001;300
ABT_400_408-435;JUN0001;300
ABT_450_425-460;JUN0001;300
ABT_450_430-460;JUN0001;300
ABT_450_435-470;JUN0001;300
ABT_500_465-500;JUN0001;300
ABT_500_498-538;JUN0001;300
ABT_500_505-540;JUN0001;300
ABT_500_599-627;JUN0001;300
ABT_500_610-638;JUN0001;300
ABT_500_620-650;JUN0001;300
CONEC_AT_350_324-350;JUN0001;600
CONEC_AT_350_325-360;JUN0001;600
CONEC_AT_350_330-360;JUN0001;600
CONEC_AT_350_350-386;JUN0001;600
CONEC_AT_350_350-392;JUN0001;600
CONEC_AT_350_360-392;JUN0001;600
CONEC_AT_400_389-410;JUN0001;600
CONEC_AT_400_399-430;JUN0001;600
CONEC_AT_450_408-435;JUN0001;600
CONEC_AT_450_425-460;JUN0001;600
CONEC_AT_450_435-470;JUN0001;600
CONEC_AT_500_465-500;JUN0001;600
CONEC_AT_500_498-538;JUN0001;600
CONEC_AT_600_505-540;JUN0001;600
CONEC_AT_600_599-627;JUN0001;600
CONEC_AT_600_610-638;JUN0001;600
CONEC_AT_600_620-650;JUN0001;600
CONEC_AT_800_819-854;JUN0001;600
CONEC_AT_800_915-935;JUN0001;600
ABT_350_324-350;JUN0002;300
ABT_350_325-360;JUN0002;300
ABT_350_330-360;JUN0002;300
ABT_350_350-386;JUN0002;300
ABT_350_350-392;JUN0002;300
ABT_350_360-386;JUN0002;300
ABT_350_360-392;JUN0002;300
ABT_400_389-410;JUN0002;300
ABT_400_399-430;JUN0002;300
ABT_400_408-435;JUN0002;300
ABT_450_425-460;JUN0002;300
ABT_450_430-460;JUN0002;300
ABT_450_435-470;JUN0002;300
ABT_500_465-500;JUN0002;300
ABT_500_498-538;JUN0002;300
ABT_500_505-540;JUN0002;300
ABT_500_599-627;JUN0002;300
ABT_500_610-638;JUN0002;300
ABT_500_620-650;JUN0002;300
CONEC_AT_350_324-350;JUN0002;600
CONEC_AT_350_325-360;JUN0002;600
CONEC_AT_350_330-360;JUN0002;600
CONEC_AT_350_350-386;JUN0002;600
CONEC_AT_350_350-392;JUN0002;600
CONEC_AT_350_360-392;JUN0002;600
CONEC_AT_400_389-410;JUN0002;600
CONEC_AT_400_399-430;JUN0002;600
CONEC_AT_450_408-435;JUN0002;600
CONEC_AT_450_425-460;JUN0002;600
CONEC_AT_450_435-470;JUN0002;600
CONEC_AT_500_465-500;JUN0002;600
CONEC_AT_500_498-538;JUN0002;600
CONEC_AT_600_505-540;JUN0002;600
CONEC_AT_600_599-627;JUN0002;600
CONEC_AT_600_610-638;JUN0002;600
CONEC_AT_600_620-650;JUN0002;600
CONEC_AT_800_819-854;JUN0002;600
CONEC_AT_800_915-935;JUN0002;600
