ID_PRODUCTO;ID_COMPONENTE;CANTIDAD
CONEC_AT_40_45_63;ARO0001;2
ABT_50_45_65;ARO0002;1
CONEC_AT_40_45_65;ARO0002;2
CONEC_AT_50_52_75;ARO0003;2
ABT_50_52_77;ARO0004;1
CONEC_AT_50_52_77;ARO0004;2
ABT_65_63_90;ARO0005;1
CONEC_AT_65_63_90;ARO0005;2
ABT_65_63_93;ARO0006;1
CONEC_AT_65_63_93;ARO0006;2
CONEC_AT_80_75_106;ARO0007;2
ABT_80_84_106;ARO0008;1
CONEC_AT_80_84_106;ARO0008;2
ABT_100_85_116;ARO0009;1
CONEC_AT_80_85_116;ARO0009;2
ABT_100_94_115;ARO0010;1
CONEC_AT_100_94_115;ARO0010;2
CONEC_AT_100_95_131;ARO0011;2
ABT_100_95_133;ARO0012;1
ABT_100_105_133;ARO0013;1
CONEC_AT_100_105_133;ARO0013;2
ABT_100_120_136;ARO0014;1
CONEC_AT_100_120_136;ARO0014;2
ABT_100_120_146;ARO0015;1
CONEC_AT_100_120_146;ARO0015;2
ABT_125_130_160;ARO0016;1
CONEC_AT_125_130_160;ARO0016;2
ABT_150_155_187;ARO0017;1
CONEC_AT_150_155_187;ARO0017;2
CONEC_AT_150_170_185;ARO0018;2
ABT_175_184_210;ARO0019;1
CONEC_AT_175_184_210;ARO0019;2
ABT_200_198_226;ARO0020;1
CONEC_AT_200_198_226;ARO0020;2
ABT_200_218_235;ARO0021;1
CONEC_AT_200_218_235;ARO0021;2
ABT_225_222_252;ARO0022;1
CONEC_AT_225_222_252;ARO0022;2
ABT_225_223_252;ARO0023;1
ABT_250_240_270;ARO0024;1
CONEC_AT_250_240_270;ARO0024;2
ABT_250_248_282;ARO0025;1
CONEC_AT_250_248_282;ARO0025;2
ABT_250_262_292;ARO0026;1
CONEC_AT_250_262_292;ARO0026;2
ABT_250_270_310;ARO0027;1
CONEC_AT_300_270_310;ARO0027;2
ABT_300_288_318;ARO0028;1
CONEC_AT_300_288_318;ARO0028;2
ABT_300_305_326;ARO0029;1
CONEC_AT_300_305_326;ARO0029;2
ABT_300_310_338;ARO0030;1
CONEC_AT_300_310_338;ARO0030;2
