ID_PRODUCTO;ID_COMPONENTE;CANTIDAD_PESO
ABT_100_105-133;BUL0003;0.0075
ABT_100_105-133;ARA0001;0.0025
ABT_100_105-133;TUE0001;0.0050
ABT_100_120-146;BUL0003;0.0075
ABT_100_120-146;ARA0001;0.0025
ABT_100_120-146;TUE0001;0.0050
ABT_100_94-115;BUL0003;0.0075
ABT_100_94-115;ARA0001;0.0025
ABT_100_94-115;TUE0001;0.0050
ABT_125_130-160;BUL0004;0.0075
ABT_125_130-160;ARA0001;0.0025
ABT_125_130-160;TUE0001;0.0050
ABT_150_155-187;BUL0006;0.0075
ABT_150_155-187;ARA0001;0.0025
ABT_150_155-187;TUE0001;0.0050
ABT_175_184-210;BUL0006;0.0075
ABT_175_184-210;ARA0001;0.0025
ABT_175_184-210;TUE0001;0.0050
ABT_200_198-226;BUL0007;0.0075
ABT_200_198-226;ARA0001;0.0025
ABT_200_198-226;TUE0001;0.0050
ABT_200_218-235;BUL0009;0.0075
ABT_200_218-235;ARA0001;0.0025
ABT_200_218-235;TUE0001;0.0050
ABT_225_222-252;BUL0009;0.0075
ABT_225_222-252;ARA0001;0.0025
ABT_225_222-252;TUE0001;0.0050
ABT_250_240-270;BUL0009;0.0075
ABT_250_240-270;ARA0001;0.0025
ABT_250_240-270;TUE0001;0.0050
ABT_250_248-282;BUL0009;0.0075
ABT_250_248-282;ARA0001;0.0025
ABT_250_248-282;TUE0001;0.0050
ABT_250_262-292;BUL0009;0.0075
ABT_250_262-292;ARA0001;0.0025
ABT_250_262-292;TUE0001;0.0050
ABT_250_270-310;BUL0009;0.0075
ABT_250_270-310;ARA0001;0.0025
ABT_250_270-310;TUE0001;0.0050
ABT_300_288-318;BUL0009;0.0075
ABT_300_288-318;ARA0001;0.0025
ABT_300_288-318;TUE0001;0.0050
ABT_300_305-326;BUL0006;0.0075
ABT_300_305-326;ARA0001;0.0025
ABT_300_305-326;TUE0001;0.0050
ABT_300_310-338;BUL0009;0.0075
ABT_300_310-338;ARA0001;0.0025
ABT_300_310-338;TUE0001;0.0050
ABT_350_324-350;BUL0010;0.0075
ABT_350_324-350;ARA0001;0.0025
ABT_350_324-350;TUE0001;0.0050
ABT_350_325-360;BUL0010;0.0075
ABT_350_325-360;ARA0001;0.0025
ABT_350_325-360;TUE0001;0.0050
ABT_350_330-360;BUL0010;0.0075
ABT_350_330-360;ARA0001;0.0025
ABT_350_330-360;TUE0001;0.0050
ABT_350_350-386;BUL0010;0.0075
ABT_350_350-386;ARA0001;0.0025
ABT_350_350-386;TUE0001;0.0050
ABT_350_350-392;BUL0010;0.0075
ABT_350_350-392;ARA0001;0.0025
ABT_350_350-392;TUE0001;0.0050
ABT_350_360-392;BUL0012;0.0075
ABT_350_360-392;ARA0001;0.0025
ABT_350_360-392;TUE0001;0.0050
ABT_400_389-410;BUL0012;0.0075
ABT_400_389-410;ARA0001;0.0025
ABT_400_389-410;TUE0001;0.0050
ABT_400_399-430;BUL0012;0.0075
ABT_400_399-430;ARA0001;0.0025
ABT_400_399-430;TUE0001;0.0050
ABT_400_408-435;BUL0012;0.0075
ABT_400_408-435;ARA0001;0.0025
ABT_400_408-435;TUE0001;0.0050
ABT_450_425-460;BUL0012;0.0075
ABT_450_425-460;ARA0001;0.0025
ABT_450_425-460;TUE0001;0.0050
ABT_450_435-470;BUL0012;0.0075
ABT_450_435-470;ARA0001;0.0025
ABT_450_435-470;TUE0001;0.0050
ABT_50_45-65;BUL0001;0.0075
ABT_50_45-65;ARA0001;0.0025
ABT_50_45-65;TUE0001;0.0050
ABT_50_52-77;BUL0002;0.0075
ABT_50_52-77;ARA0001;0.0025
ABT_50_52-77;TUE0001;0.0050
ABT_500_465-500;ARA0001;0.0025
ABT_500_465-500;TUE0001;0.0050
ABT_500_498-538;BUL0012;0.0075
ABT_500_498-538;ARA0001;0.0025
ABT_500_498-538;TUE0001;0.0050
ABT_500_505-540;BUL0012;0.0075
ABT_500_505-540;ARA0001;0.0025
ABT_500_505-540;TUE0001;0.0050
ABT_500_599-627;BUL0012;0.0075
ABT_500_599-627;ARA0001;0.0025
ABT_500_599-627;TUE0001;0.0050
ABT_500_610-638;BUL0012;0.0075
ABT_500_610-638;ARA0001;0.0025
ABT_500_610-638;TUE0001;0.0050
ABT_500_620-650;BUL0012;0.0075
ABT_500_620-650;ARA0001;0.0025
ABT_500_620-650;TUE0001;0.0050
ABT_65_63-90;CUE0003;
ABT_65_63-90;BUL0002;0.0075
ABT_65_63-90;ARA0001;0.0025
ABT_65_63-90;TUE0001;0.0050
ABT_65_63-93;CUE0003;
ABT_65_63-93;BUL0002;0.0075
ABT_65_63-93;ARA0001;0.0025
ABT_65_63-93;TUE0001;0.0050
ABT_80_84-106;BUL0003;0.0075
ABT_80_84-106;ARA0001;0.0025
ABT_80_84-106;TUE0001;0.0050
CONEC_AT_100_105-133;BUL0007;0.0075
CONEC_AT_100_105-133;ARA0001;0.0025
CONEC_AT_100_105-133;TUE0001;0.0050
CONEC_AT_100_120-136;BUL0007;0.0075
CONEC_AT_100_120-136;ARA0001;0.0025
CONEC_AT_100_120-136;TUE0001;0.0050
CONEC_AT_100_120-146;BUL0007;0.0075
CONEC_AT_100_120-146;ARA0001;0.0025
CONEC_AT_100_120-146;TUE0001;0.0050
CONEC_AT_100_94-115;BUL0005;0.0075
CONEC_AT_100_94-115;ARA0001;0.0025
CONEC_AT_100_94-115;TUE0001;0.0050
CONEC_AT_100_95-131;CUE0006;
CONEC_AT_100_95-131;BUL0005;0.0075
CONEC_AT_100_95-131;ARA0001;0.0025
CONEC_AT_100_95-131;TUE0001;0.0050
CONEC_AT_125_130-160;CUE0007;
CONEC_AT_125_130-160;BUL0008;0.0075
CONEC_AT_125_130-160;ARA0001;0.0025
CONEC_AT_125_130-160;TUE0001;0.0050
CONEC_AT_150_155-187;BUL0013;0.0075
CONEC_AT_150_155-187;ARA0001;0.0025
CONEC_AT_150_155-187;TUE0001;0.0050
