ID_COMPONENTE;ID_DESCRIPCION;DIAMETRO;LONGITUD;STOCK_CANTIDAD_RECIBIDO;STOCK_CANTIDAD_GRANALLADO;STOCK_CANTIDAD_PINTURA;STOCK_CANTIDAD_PROCESO
CUE0001;3;90;73;500;500;500;500
CUE0002;3;90;88,3;500;500;500;500
CUE0003;3;90;101,6;500;500;500;500
CUE0004;3;110;114,3;500;500;500;500
CUE0005;3;110;127,3;500;500;500;500
CUE0006;3;110;141,3;500;500;500;500
CUE0007;3;130;168,3;500;500;500;500
CUE0008;3;140;219,1;500;500;500;500
CUE0009;4;;757;25;25;25;25
CUE0010;4;;775;25;25;25;25
CUE0011;4;;830;25;25;25;25
CUE0012;4;;890;25;25;25;25
CUE0013;4;;840;25;25;25;25
CUE0014;4;;960;25;25;25;25
CUE0015;4;;1025;25;25;25;25
CUE0016;4;;1050;25;25;25;25
CUE0017;4;;1070;25;25;25;25
CUE0018;4;;1110;25;25;25;25
CUE0019;4;;1155;25;25;25;25
CUE0020;4;;1165;25;25;25;25
CUE0021;4;;1260;25;25;25;25
CUE0022;4;;1280;25;25;25;25
CUE0023;4;;1320;25;25;25;25
CUE0024;4;;1390;25;25;25;25
CUE0025;4;;1400;25;25;25;25
CUE0026;4;;1480;25;25;25;25
CUE0027;4;;1500;25;25;25;25
CUE0028;4;;1605;25;25;25;25
CUE0029;4;;1718;25;25;25;25
CUE0030;4;;1790;25;25;25;25
CUE0031;4;;2000;25;25;25;25
CUE0032;4;;2050;25;25;25;25
CUE0033;4;;2100;25;25;25;25
