ID_COMPONENTE;ID_DESCRIPCION;TOLERANCIA_MINIMA;TOLERANCIA_MAXIMA;STOCK_CANTIDAD_PROCESO
ARO0001;6;45;63;200
ARO0002;6;45;65;200
ARO0003;6;52;75;200
ARO0004;6;52;77;200
ARO0005;6;63;90;200
ARO0006;6;63;93;200
ARO0007;6;75;106;200
ARO0008;6;84;106;200
ARO0009;6;85;116;200
ARO0010;6;94;115;200
ARO0011;6;95;131;200
ARO0012;6;95;133;200
ARO0013;6;105;133;200
ARO0014;6;120;136;200
ARO0015;6;120;146;200
ARO0016;6;130;160;200
ARO0017;6;155;187;200
ARO0018;6;170;185;200
ARO0019;6;184;210;200
ARO0020;6;198;226;200
ARO0021;6;218;235;200
ARO0022;6;222;252;200
ARO0023;6;223;252;200
ARO0024;6;240;270;200
ARO0025;6;248;282;200
ARO0026;6;262;292;200
ARO0027;6;270;310;200
ARO0028;6;288;318;200
ARO0029;6;305;326;200
ARO0030;6;310;338;200
